Abrazaderas sin fin
Abrazaderas Condruit
Accesorio galvanizado
Argollas galvanizadas
Accesorio P/canales plasticos
Adaptadores PVC
Accesorio para sanitario
Asiento para sanitario
Anclas plasticas
Anclas metalicas
Atomizadores
Accesorios para vehiculos
Alambre de puas
Alambre galvanizado y negro
Alambre Razzor
Alambre Duplex (metro)
Alambre TNM (metro)
Alambre TW (metro)
Alambre TSJ (metro)
Alambre para bocina
Arandela plana
Arandela de presión
Almadanas
Aceites
Acidos
Azadon
Anzuelos
Acoples set 1/4
Abono azul universal
Antenas
Adaptador para tuerca
Accesorio P/cable coaxial
Aditivos y penetrantes
Accesorios de aire
Angulares
Aparato p/soldar 
Baterias
Barniz
Bayben
Baldes
Capotes
Bombas
Botellas
Brochas 
Brochas Mega brush
Brocas de paleta
Brocas para instalar chapa
Broca para azulejo
Bandejas/felpas
Brocas para concreto
Brocas para hierro
Bisagras
Barras
Barriles
Caja termica
Cuerpo terminal
Canaleta plastica
Caja P/telefono
Caja rectangulares/octagonales
Cangrejas
Canastas para lavatrastos
Candados
Caiman
Caretas P/soldar
Cola blanca
Chalecos
Chorros
Calentador P/agua
Chuzos
Cacerolas y cubiertos (tramontina)
Conector Recto  
Chapas para gavetas
Chicles
Chapa P/dormitorio
Chapas
Chapa de pin(yale colombiana)
Cemento
Cepos y bandolas
Cal hidratada 
Cepillos de alambre
Ceramica
Cucharas
 Cintas metricas
Cielo falso
Cintas aislantes
Cuerdas para guitarra metal/nylon
Cuma imacassa
Cintas adhesivas
Cinta adhesiva 19 mm x 5 mt
Cintas teflón
Comejenol
Cortavidrio
Codos PVC
Codos hechizos
Codos drenaje
Codos P/estufa
Cinturones
Clavos para madera (lb)
Clavo azul
Clavo de acero
Clavo robot
Clavo P/lamina
Cadenas P/perros
Cadena galvanizada
Corta frios
Canales plasticos
Carretillas
Cinchos plasticos
Cuchillas P/licuadoras y otras
Cuchillos
Cubos
Curvas PVC
Caños negros
Caños galvanizado
Dados termicos
Dado toma y Switch
Destornilladores
Desagües/lavamanos
Discos para madera/sierra
Disco diamante
Disco para pulir
Disco para concreto
Disco para hierro
Duchas (Accesorios P/duchas)
Desengrasante
Durapax
Diamante P/cortadora de azulejo
Electro malla
Empaques
Embudos  
Enjugadores/escurridor
Extensiones P/telefono
Escobas
Escuadras P/repisas
Escuadras P/carpintero
Espatulas
Esponjas
Espuma
Extintores
Extensiones electricas
Electrodos
Escaleras de aluminio
Estaño
Faja lumbares
Fregaderos 
Fibrolit plano (Plyrock)
Formones
Focos
Fusibles
Foco automotriz
Galerias
Grasas
Gancho P/hamaca
Grapas plasticas
Guantes de cuero
Guantes de hule
Grifas
Gas kerosene
Gancho p/espejo
Garruchas
Higiene personal
Hachas
Haladeras
Hierro corrugado
Cuadrado
Entorchado
Hilo nylon 
Junco
Hierro liso
Ladrillos
Lazos 
Lamparas
Lavamanos
Lamina de hierro
Lamina Plycem
Lamina duralita standard
Lamina Desplegada
Lamina lisa galvanizada
Lamina lagrimada 
Lamina plastica P-10
Lamina plastica rural
Lamina plastica P-7
Tejas plasticas
Tope p/puerta 
Lapiz bicolor facela
Lamina zinc plastico
Lamina ZincAlum
Lentes
Lamina galvanizada
Lija de agua
Lija P/madera
Lija para hierro
Lijas para masillas
Discos lijas
Limas triangulares y cuadradas
Limas redondas y planas
Piedra lima
Limas doble punta 
Porta baterias
Llanas
Llaves mixtas
Lonas
Llaves Allen y torx
Llaves Stilson
Llave cruz galvanizada
Llaves y mandril para taladros
Lupas
Manecillas
Mangueras
Machetes
Marcos para sierras
Martillos
Maderas
Masillas
Malla ciclon
Mirilla para puerta
Navajas
Naiz atomizador ABRO
Niveles
Niples galvanizados
Niveles de pita
Numeros
Operador para ventana
Pegamento PVC
Pegamento Lanco
Pegamento Durman
Pegamentos de contacto
Pegamentos instantaneos
Peras para sanitario
Pulidoras
Pasadores dorados
Pasadores negros pesados
Pasadores pesados lisos y P/candados
Papel mata mosca 
Pernos P/sanitarios
Pernos
Pernos milimetrico p/estufa galv.
Perno milimetrico hexagonal
Pernos P/carroceria
Pinturas Agua
Pinturas Aceite
PinturasAnticorrosivo
Pinturas Aluminio
Pinturas Piscina
Antigrava
Pitas y plasticos
Platinas
Placas integradas Aguila
Placas integradas Bticino
Placas integradas TW
Placas
Pinceles 
Pistola para calefatear
Piton para manguera
Palo para piocha (Azadon y pala)
Pistolas para pintar
Pistola P/silicon barra
Palas cuadradas y redondas
Poliductos y tecnoductos
Productos de cemento
Polvos minerales
Porcelanas
Pegamentos para repellos
Pegamentos para ceràmica
Portacandados
Polin C galvanizado y negro
Polin de varilla
Plomadas
Protegidos
Puertas 
Polo tierra
Plywood
Probadores de corriente
Puntas
Puntas phillips/planas
Resbalon
Resistencias
Roscas 
Receptaculos
Soportes p/TV
Raquetas
Rieles
Removedores
Robbing
Resumidores
Rodos
Repuesto P/chorro grival
Reflector
Rastrillo
Reductores PVC
Remaches pop
Remachadoras
Resortes
Sargento
Sarandas (rollo)
Sedazo
Serrucho
Sellador
Sierras circulares/caladoras
Sierras 
Sierra tolcraft
Separadores P/ceramica
Sifones
Sifon P/lavatrastos y p/lavamanos
Silicones
SIKA
Sinceles
Soportes y star P/lampara
Spray
Colorantes
Solvente
Soda caustica
Socket
Scotch look
Switch pequeños
Tinacos
Thinner
Timbres 
Tachuelas
Tacos plasticos
Tapones P/pila Aluminio
Tapones P/pila Bronce
Tapones PVC
Tapagoteras (paredes)
Taladros
Tapaderas 
Tirro
Tramos
Tenazas Mecanico
Tenazas Alicates
Tenazas De presion y punta fina
Tenazas P/electricista
Tenazas Porta electrodos
 Tenazas Pericas
Terminales P/manguera
Tijeras
Terminales 3M
Tela P/gallinero
TEE PVC
Tornillo goloso P/lamina
Tornillo goloso P/madera 
Tornillos
Tornillos Punta Broca
Tornillos golosos avellanados
Tornillo kalat
Tornillo tabla roca negro
Tornillos P/estufa
Extractores de tornillos
Tomas
Tabla roca y accesorios
Tapagoteras
Tubos P/lampara
Tubos galvanizados cuadrados
Tubos galvanizados rectangulares
Tuberia negra Cuadrada
Tuberia Rectangular
Tubo estructural
Tubos redondos 
Triangulos
Toallero metalico
Transformadores P/lampara
Tiralineas
Tubos PVC
Tubos de abasto P/lavamanos
Transformadores   
Trampas 
Tuerca 
Uniones P/manguera
Union hechizo
Union PVC
Uñeta para lavamanos
Valvulas Check
Valvulas De bola
Valvulas De control
Valvulas globo
